"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"2","org.jabref.model.entry",".\BibEntryTypesManager.java","3","50","A switch with less than three branches is inefficient, use a if statement instead.","Performance","TooFewBranchesForSwitch"
"3","org.jabref.model.entry",".\BibEntryTypesManager.java","2","124","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.jabref.model.entry",".\BibEntryTypesManager.java","2","204","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.jabref.model.entry",".\BibtexString.java","3","52","Avoid using literals such as 1 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"2","org.jabref.model.entry",".\BibtexString.java","3","76","Field hasChanged has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"3","org.jabref.model.entry",".\BibtexString.java","3","152","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","org.jabref.model.entry",".\BibtexString.java","2","160","Object clone() should be implemented with super.clone()","Error Prone","ProperCloneImplementation"
"5","org.jabref.model.entry",".\BibtexString.java","3","160","The return type of the clone() method must be the class name when implements Cloneable","Error Prone","CloneMethodReturnTypeMustMatchClassName"
"1","org.jabref.model.entry",".\CanonicalBibEntry.java","3","63","StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","Performance","ConsecutiveAppendsShouldReuse"
"1","org.jabref.model.entry",".\Date.java","3","85","It is somewhat confusing to have a field name matching the declaring class name","Error Prone","AvoidFieldNameMatchingTypeName"
"2","org.jabref.model.entry",".\Date.java","2","128","Avoid reassigning parameters such as 'dateString'","Best Practices","AvoidReassigningParameters"
"3","org.jabref.model.entry",".\Date.java","3","314","Avoid using literals such as 1 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"1","org.jabref.model.entry",".\Keyword.java","3","19","It is somewhat confusing to have a field name matching the declaring class name","Error Prone","AvoidFieldNameMatchingTypeName"
"1","org.jabref.model.entry",".\Langid.java","3","87","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","org.jabref.model.entry",".\LinkedFile.java","3","37","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"2","org.jabref.model.entry",".\LinkedFile.java","1","75","Overridable method called during object construction: LinkedFile.setLink(String) ","Error Prone","ConstructorCallsOverridableMethod"
"3","org.jabref.model.entry",".\LinkedFile.java","3","199","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","org.jabref.model.entry",".\Month.java","3","78","Avoid using literals such as 3 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"2","org.jabref.model.entry",".\Month.java","2","107","Avoid reassigning parameters such as 'value'","Best Practices","AvoidReassigningParameters"
"3","org.jabref.model.entry",".\Month.java","3","107","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","org.jabref.model.entry",".\Season.java","2","87","Avoid reassigning parameters such as 'value'","Best Practices","AvoidReassigningParameters"
"2","org.jabref.model.entry",".\Season.java","3","87","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","org.jabref.model.entry",".\SharedBibEntryData.java","3","48","When implementing Comparable, both equals() and hashCode() should be overridden","Error Prone","OverrideBothEqualsAndHashCodeOnComparable"
"1","org.jabref.model.entry.event",".\event\FieldChangedEvent.java","3","17","Avoid using redundant field initializer for 'majorCharacterChange'","Performance","RedundantFieldInitializer"
"1","org.jabref.model.entry.field",".\field\AMSField.java","3","12","Avoid unused private fields such as 'displayName'.","Best Practices","UnusedPrivateField"
"2","org.jabref.model.entry.field",".\field\AMSField.java","3","13","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"1","org.jabref.model.entry.field",".\field\BiblatexApaField.java","3","21","Avoid unused private fields such as 'displayName'.","Best Practices","UnusedPrivateField"
"2","org.jabref.model.entry.field",".\field\BiblatexApaField.java","3","22","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"1","org.jabref.model.entry.field",".\field\BiblatexSoftwareField.java","3","21","Avoid unused private fields such as 'displayName'.","Best Practices","UnusedPrivateField"
"2","org.jabref.model.entry.field",".\field\BiblatexSoftwareField.java","3","22","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"1","org.jabref.model.entry.field",".\field\Field.java","3","14","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"1","org.jabref.model.entry.field",".\field\FieldFactory.java","2","64","Avoid reassigning parameters such as 'fieldName'","Best Practices","AvoidReassigningParameters"
"2","org.jabref.model.entry.field",".\field\FieldFactory.java","3","71","Avoid using literals such as 2 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"3","org.jabref.model.entry.field",".\field\FieldFactory.java","3","219","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"4","org.jabref.model.entry.field",".\field\FieldFactory.java","3","221","Avoid using implementation types like 'LinkedHashSet'; use the interface instead","Best Practices","LooseCoupling"
"5","org.jabref.model.entry.field",".\field\FieldFactory.java","3","241","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"6","org.jabref.model.entry.field",".\field\FieldFactory.java","3","243","Avoid using implementation types like 'LinkedHashSet'; use the interface instead","Best Practices","LooseCoupling"
"1","org.jabref.model.entry.field",".\field\IEEEField.java","3","23","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"1","org.jabref.model.entry.field",".\field\InternalField.java","3","36","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"2","org.jabref.model.entry.field",".\field\InternalField.java","3","49","Avoid using literals such as 'bibtexkey' in if statements","Error Prone","AvoidLiteralsInIfCondition"
"1","org.jabref.model.entry.field",".\field\SpecialField.java","3","50","Avoid using implementation types like 'HashMap'; use the interface instead","Best Practices","LooseCoupling"
"2","org.jabref.model.entry.field",".\field\SpecialField.java","3","59","Use asList instead of tight loops","Performance","UseArraysAsList"
"1","org.jabref.model.entry.field",".\field\SpecialFieldValue.java","3","31","The field 'keyword' of serializable class 'org.jabref.model.entry.field.SpecialFieldValue' is of non-serializable type 'java.util.Optional<*org.jabref.model.entry.Keyword>'.","Error Prone","NonSerializableClass"
"1","org.jabref.model.entry.field",".\field\StandardField.java","3","161","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"1","org.jabref.model.entry.field",".\field\UnknownField.java","3","16","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"1","org.jabref.model.entry.field",".\field\UserSpecificCommentField.java","3","7","Avoid using implementation types like 'EnumSet'; use the interface instead","Best Practices","LooseCoupling"
"1","org.jabref.model.entry.identifier",".\identifier\ARK.java","3","21","It is somewhat confusing to have a field name matching the declaring class name","Error Prone","AvoidFieldNameMatchingTypeName"
"1","org.jabref.model.entry.identifier",".\identifier\DOI.java","3","103","It is somewhat confusing to have a field name matching the declaring class name","Error Prone","AvoidFieldNameMatchingTypeName"
"2","org.jabref.model.entry.identifier",".\identifier\DOI.java","3","105","Avoid using redundant field initializer for 'isShortDoi'","Performance","RedundantFieldInitializer"
"3","org.jabref.model.entry.identifier",".\identifier\DOI.java","3","105","Field isShortDoi has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"4","org.jabref.model.entry.identifier",".\identifier\DOI.java","3","164","Avoid using literals such as 1 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"5","org.jabref.model.entry.identifier",".\identifier\DOI.java","3","171","Avoid catching NullPointerException in try-catch block","Error Prone","AvoidCatchingGenericException"
"6","org.jabref.model.entry.identifier",".\identifier\DOI.java","2","190","Avoid reassigning parameters such as 'text'","Best Practices","AvoidReassigningParameters"
"1","org.jabref.model.entry.identifier",".\identifier\ISBN.java","3","42","Avoid using literals such as 10 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"2","org.jabref.model.entry.identifier",".\identifier\ISBN.java","3","61","Avoid using literals such as 10 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"3","org.jabref.model.entry.identifier",".\identifier\ISBN.java","3","79","Avoid using literals such as 13 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"1","org.jabref.model.entry.identifier",".\identifier\ISSN.java","3","47","Avoid using literals such as 4 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"1","org.jabref.model.entry.identifier",".\identifier\IacrEprint.java","3","27","It is somewhat confusing to have a field name matching the declaring class name","Error Prone","AvoidFieldNameMatchingTypeName"
"1","org.jabref.model.entry.identifier",".\identifier\RFC.java","3","23","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","org.jabref.model.entry.identifier",".\identifier\SSRN.java","2","29","Avoid reassigning parameters such as 'string'","Best Practices","AvoidReassigningParameters"
